 ,sigma_bin0 ,sigma_bin1 ,sigma_bin2 ,sigma_bin3 ,sigma_bin4 ,mu_Zjets ,mu_wwTop_SR_0 ,mu_ggf ,mu_wwTop_SR_1 ,mu_Zjets_CRGGF1 ,mu_wwTop_CRGGF ,
sigma_bin0,1,0.0858004,0.0724555,-0.019146,0.0276763,-0.0170912,-0.184067,-0.142936,-0.0436147,0.0102431,-0.027964,
sigma_bin1,0.0858004,1,0.0620609,0.00643412,0.0480865,-0.0185283,-0.151881,-0.13572,-0.0230654,0.0206473,-0.0448465,
sigma_bin2,0.0724555,0.0620609,1,0.0428858,0.0499789,-0.0119534,-0.148833,-0.125272,-0.0237423,0.0132537,-0.0202877,
sigma_bin3,-0.019146,0.00643412,0.0428858,1,0.0956288,-0.0538911,0.0355264,-0.0395839,-0.101584,0.0517167,-0.0288436,
sigma_bin4,0.0276763,0.0480865,0.0499789,0.0956288,1,-0.104697,0.0355236,-0.0813828,-0.178333,0.0910578,-0.0550912,
mu_Zjets,-0.0170912,-0.0185283,-0.0119534,-0.0538911,-0.104697,1,-0.0481998,-0.0730373,-0.0305761,-0.0182342,0.0113776,
mu_wwTop_SR_0,-0.184067,-0.151881,-0.148833,0.0355264,0.0355236,-0.0481998,1,0.052281,0.410524,0.0791773,0.458392,
mu_ggf,-0.142936,-0.13572,-0.125272,-0.0395839,-0.0813828,-0.0730373,0.052281,1,0.099635,-0.0221174,0.0209599,
mu_wwTop_SR_1,-0.0436147,-0.0230654,-0.0237423,-0.101584,-0.178333,-0.0305761,0.410524,0.099635,1,0.0663666,0.555373,
mu_Zjets_CRGGF1,0.0102431,0.0206473,0.0132537,0.0517167,0.0910578,-0.0182342,0.0791773,-0.0221174,0.0663666,1,-0.164647,
mu_wwTop_CRGGF,-0.027964,-0.0448465,-0.0202877,-0.0288436,-0.0550912,0.0113776,0.458392,0.0209599,0.555373,-0.164647,1,
