 ,sigma_bin0 ,sigma_bin1 ,sigma_bin2 ,sigma_bin3 ,sigma_bin4 ,mu_Zjets ,mu_wwTop_SR_0 ,mu_ggf ,mu_wwTop_SR_1 ,mu_wwTop_SR_2 ,mu_Zjets_CRGGF1 ,mu_wwTop_CRGGF ,
sigma_bin0,1,-0.230323,0.185634,-0.0743232,0.0581319,-0.106861,-0.250893,-0.357029,0.00459197,0.0349605,0.0142731,-0.0257256,
sigma_bin1,-0.230323,1,-0.497779,0.266473,-0.0546316,0.0109049,-0.00622254,-0.0578306,-0.22392,-0.0655783,0.00637766,-0.0459731,
sigma_bin2,0.185634,-0.497779,1,-0.457455,0.103236,-0.00805685,-0.0152445,-0.0716697,-0.0255597,0.0538816,-0.0014845,0.00939429,
sigma_bin3,-0.0743232,0.266473,-0.457455,1,-0.212358,0.00241233,-0.0103444,-0.0532059,-0.00367955,-0.256832,-0.000260293,-0.0252169,
sigma_bin4,0.0581319,-0.0546316,0.103236,-0.212358,1,-0.0076108,0.0037768,-0.0487943,0.0108646,-0.0623435,-0.00801607,0.00211556,
mu_Zjets,-0.106861,0.0109049,-0.00805685,0.00241233,-0.0076108,1,-0.053816,-0.072458,-0.00499643,-0.0125869,-0.0362303,0.0144093,
mu_wwTop_SR_0,-0.250893,-0.00622254,-0.0152445,-0.0103444,0.0037768,-0.053816,1,0.13952,0.3123,0.166288,0.0727508,0.60179,
mu_ggf,-0.357029,-0.0578306,-0.0716697,-0.0532059,-0.0487943,-0.072458,0.13952,1,0.0819609,0.00996525,-0.0123083,0.0256642,
mu_wwTop_SR_1,0.00459197,-0.22392,-0.0255597,-0.00367955,0.0108646,-0.00499643,0.3123,0.0819609,1,0.114219,0.0620645,0.311371,
mu_wwTop_SR_2,0.0349605,-0.0655783,0.0538816,-0.256832,-0.0623435,-0.0125869,0.166288,0.00996525,0.114219,1,0.018904,0.145562,
mu_Zjets_CRGGF1,0.0142731,0.00637766,-0.0014845,-0.000260293,-0.00801607,-0.0362303,0.0727508,-0.0123083,0.0620645,0.018904,1,-0.184569,
mu_wwTop_CRGGF,-0.0257256,-0.0459731,0.00939429,-0.0252169,0.00211556,0.0144093,0.60179,0.0256642,0.311371,0.145562,-0.184569,1,
