 ,sigma_bin0 ,sigma_bin1 ,sigma_bin2 ,sigma_bin3 ,mu_Zjets ,mu_wwTop_SR_0 ,mu_ggf ,mu_wwTop_SR_1 ,mu_Zjets_CRGGF1 ,mu_wwTop_CRGGF ,
sigma_bin0,1,0.100739,0.0562374,0.00511783,-0.0400801,-0.265119,-0.217318,-0.041118,0.00855577,-0.0129305,
sigma_bin1,0.100739,1,-0.0526226,0.0232615,-0.0293748,-0.257319,-0.101611,-0.0547813,0.00485945,-0.0468455,
sigma_bin2,0.0562374,-0.0526226,1,-0.0208053,-0.124146,0.0659851,-0.0692011,-0.113147,0.0645968,-0.0220597,
sigma_bin3,0.00511783,0.0232615,-0.0208053,1,-0.0702108,-0.026936,0.0114283,-0.155604,0.0705736,-0.0733452,
mu_Zjets,-0.0400801,-0.0293748,-0.124146,-0.0702108,1,-0.0388555,-0.087528,-0.0512741,-0.0346931,0.0267905,
mu_wwTop_SR_0,-0.265119,-0.257319,0.0659851,-0.026936,-0.0388555,1,-0.0316398,0.37739,0.0762298,0.397496,
mu_ggf,-0.217318,-0.101611,-0.0692011,0.0114283,-0.087528,-0.0316398,1,0.177065,-0.00266878,0.0144184,
mu_wwTop_SR_1,-0.041118,-0.0547813,-0.113147,-0.155604,-0.0512741,0.37739,0.177065,1,0.096103,0.564705,
mu_Zjets_CRGGF1,0.00855577,0.00485945,0.0645968,0.0705736,-0.0346931,0.0762298,-0.00266878,0.096103,1,-0.16999,
mu_wwTop_CRGGF,-0.0129305,-0.0468455,-0.0220597,-0.0733452,0.0267905,0.397496,0.0144184,0.564705,-0.16999,1,
