 ,sigma_bin0 ,sigma_bin1 ,sigma_bin2 ,sigma_bin3 ,sigma_bin4 ,mu_Zjets ,mu_wwTop_SR_0 ,mu_ggf ,mu_wwTop_SR_1 ,mu_wwTop_SR_2 ,mu_wwTop_SR_3 ,mu_Zjets_CRGGF1 ,mu_wwTop_CRGGF ,
sigma_bin0,1,0.121618,0.0150346,0.0399654,0.0441528,-0.0173141,-0.199629,-0.156297,0.0200093,-0.00538246,-0.0444972,-0.00991336,-0.0173956,
sigma_bin1,0.121618,1,0.0218967,0.073608,0.046578,0.0133483,-0.201645,-0.189462,-0.000529827,-0.0310612,-0.0712835,-0.0143986,-0.0462802,
sigma_bin2,0.0150346,0.0218967,1,0.0128709,0.030612,-0.0202347,-0.0082809,-0.078127,-0.366714,0.00755778,-0.00107163,0.00706698,-0.0335354,
sigma_bin3,0.0399654,0.073608,0.0128709,1,0.0563965,0.0201577,-0.00104487,-0.192702,-0.00531793,-0.371407,-0.072697,-0.0230997,-0.0148511,
sigma_bin4,0.0441528,0.046578,0.030612,0.0563965,1,-0.0624464,-0.0143793,-0.171495,0.00311719,-0.0239314,-0.194066,0.0131815,-0.0400619,
mu_Zjets,-0.0173141,0.0133483,-0.0202347,0.0201577,-0.0624464,1,-0.0327734,-0.0676518,-0.0181944,-0.0757326,-0.0621468,-0.0139806,0.00184059,
mu_wwTop_SR_0,-0.199629,-0.201645,-0.0082809,-0.00104487,-0.0143793,-0.0327734,1,0.015997,0.137443,0.192782,0.274778,0.0692026,0.322527,
mu_ggf,-0.156297,-0.189462,-0.078127,-0.192702,-0.171495,-0.0676518,0.015997,1,0.00160016,0.0607682,0.180553,-0.0408777,0.0317775,
mu_wwTop_SR_1,0.0200093,-0.000529827,-0.366714,-0.00531793,0.00311719,-0.0181944,0.137443,0.00160016,1,0.141117,0.213566,0.0677583,0.253809,
mu_wwTop_SR_2,-0.00538246,-0.0310612,0.00755778,-0.371407,-0.0239314,-0.0757326,0.192782,0.0607682,0.141117,1,0.289181,0.0793094,0.307913,
mu_wwTop_SR_3,-0.0444972,-0.0712835,-0.00107163,-0.072697,-0.194066,-0.0621468,0.274778,0.180553,0.213566,0.289181,1,0.103627,0.541763,
mu_Zjets_CRGGF1,-0.00991336,-0.0143986,0.00706698,-0.0230997,0.0131815,-0.0139806,0.0692026,-0.0408777,0.0677583,0.0793094,0.103627,1,-0.157342,
mu_wwTop_CRGGF,-0.0173956,-0.0462802,-0.0335354,-0.0148511,-0.0400619,0.00184059,0.322527,0.0317775,0.253809,0.307913,0.541763,-0.157342,1,
